Date,Num,Rate
2011/01,16606,6.6
2011/02,16503,6.6
2011/03,16712,6.4
2011/04,16775,5.7
2011/05,17463,5.4
2011/06,17067,5.7
2011/07,17094,5.1
2011/08,17017,4.9
2011/09,16939,5.0
2011/10,16545,5.5
2011/11,16515,5.6
2011/12,16610,5.6
2012/01,16481,6.0
2012/02,16502,6.0
2012/03,16617,5.8
2012/04,16787,5.2
2012/05,17369,4.9
2012/06,17450,5.2
2012/07,17632,4.8
2012/08,17300,4.5
2012/09,17269,4.3
2012/10,16619,4.9
2012/11,16477,5.2
2012/12,16399,5.5
2013/01,16231,6.3
2013/02,16335,5.9
2013/03,16347,5.4
2013/04,16479,5.0
2013/05,17209,4.6
2013/06,17254,5.1
2013/07,17286,4.5
2013/08,17289,4.3
2013/09,16878,4.4
2013/10,16092,5.0
2013/11,16031,5.2
2013/12,15992,5.1
2014/01,15924,5.8
2014/02,16002,5.9
2014/03,16076,5.8
2014/04,16304,5.0
2014/05,17093,4.6
2014/06,17092,4.9
2014/07,17235,4.6
2014/08,17240,4.4
2014/09,16893,4.3
2014/10,16316,4.6
2014/11,16209,4.9
2014/12,16197,4.8
2015/01,16005,5.3
2015/02,15972,5.2
2015/03,15990,5.0
2015/04,16225,4.6
2015/05,16922,4.3
2015/06,16690,4.7
2015/07,16815,4.1
2015/08,16948,3.8
2015/09,16577,3.9
2015/10,15760,4.5
2015/11,15771,4.7
2015/12,15726,4.7
2016/01,15967,4.9
2016/02,15987,5.0
2016/03,16161,4.7
2016/04,16509,4.3
2016/05,17224,3.9
2016/06,17076,4.2
2016/07,17247,3.8
2016/08,17478,3.5
2016/09,16920,4.2
2016/10,16389,4.2
2016/11,16171,4.4
2016/12,16057,4.6
2017/01,15957,5.2
2017/02,16030,5.0
2017/03,16046,4.8
2017/04,16443,4.2
2017/05,17364,3.7
2017/06,16920,4.2
2017/07,17149,4.1
2017/08,17316,3.8
2017/09,16915,4.0
2017/10,16347,4.0
2017/11,16173,4.3
2017/12,15909,4.5
2018/01,15886,4.8
2018/02,15914,4.6
2018/03,15989,4.5
2018/04,16231,4.1
2018/05,17228,3.5
2018/06,17058,3.9
2018/07,17475,3.3
2018/08,17311,3.3
2018/09,16924,3.5
2018/10,16416,4.0
2018/11,16039,4.3
2018/12,15662,4.9
2019/01,15661,5.4
2019/02,15837,5.1
2019/03,15914,5.0
2019/04,16137,4.1
2019/05,17209,3.8
2019/06,17128,3.9
2019/07,17328,3.6
2019/08,17314,3.4
2019/09,17028,3.4
2019/10,16517,3.6
2019/11,15968,3.9
2019/12,15936,3.9
2020/01,15721,4.4
2020/02,15858,3.9
2020/03,15673,5.0
2020/04,14155,9.7
2020/05,14272,10.8
2020/06,14395,10.9
2020/07,14900,10.2
2020/08,15333,6.6
2020/09,15133,6.5
2020/10,15356,5.8
2020/11,15375,5.7
2020/12,15500,5.3
2021/01,15520,5.9
2021/02,15329,6.3
2021/03,15472,6.0
2021/04,15615,5.8
2021/05,15736,5.3
2021/06,15760,5.3
2021/07,16152,4.3
2021/08,16479,3.7
2021/09,16214,3.7
2021/10,16395,3.8
2021/11,16205,3.8
2021/12,16241,3.6
2022/01,16155,4.3
2022/02,16219,4.0
2022/03,16300,3.4
2022/04,16595,2.9
2022/05,17401,2.7
2022/06,17078,3.1
2022/07,17307,2.4
2022/08,17476,2.1
2022/09,17111,2.1
2022/10,16921,2.4
2022/11,16359,2.7
2022/12,16254,2.8

